,CityID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,2112309,Katsuura,35.1333,140.3,46.51,46,100,7.78,JP,1672970690
270,4161187,Lake City,30.1897,-82.6393,58.8,67,0,4.61,US,1672970690
271,642455,Pedersore,63.65,22.6833,12.33,97,31,3.06,FI,1672970691
272,5557293,Sitka,57.0531,-135.33,44.49,53,100,0.0,US,1672970691
273,1262485,Mungaoli,24.4167,78.1,40.48,55,0,6.26,IN,1672970691
274,1490918,Staryy Nadym,65.6118,72.6842,-16.62,89,100,13.51,RU,1672970692
275,3465769,Conceição da Barra,-18.5933,-39.7322,76.08,89,100,7.4,BR,1672970692
276,5563839,Fortuna,40.5982,-124.1573,49.93,95,100,11.5,US,1672970693
277,934649,Cap Malheureux,-19.9842,57.6142,79.47,71,20,7.0,MU,1672970693
278,3141667,Roald,62.5833,6.1333,40.12,56,40,20.71,NO,1672970694
279,219057,Binga,0.5218,29.318,59.47,74,29,2.59,CD,1672970694
280,1082243,Ambilobe,-13.2,49.05,72.1,94,78,3.38,MG,1672970694
281,2276492,Harper,4.375,-7.7169,78.42,77,96,5.19,LR,1672970695
282,780717,Båtsfjord,70.6345,29.7185,33.73,93,100,34.52,NO,1672970695
283,4153188,Destin,30.3935,-86.4958,62.6,57,0,5.75,US,1672970695
284,2023584,Imeni Poliny Osipenko,52.4201,136.4853,-13.68,97,98,3.8,RU,1672970696
285,135423,Shahrud,36.4182,54.9763,30.56,75,25,1.1,IR,1672970696
286,1152562,Kui Buri,12.0828,99.8543,77.09,66,87,12.77,TH,1672970697
287,3038333,Arrondissement d'Ajaccio,42.0,8.9167,48.25,87,0,6.91,FR,1672970474
288,3421319,Nuuk,64.1835,-51.7216,15.13,71,95,8.99,GL,1672970505
289,3466165,Cidreira,-30.1811,-50.2056,71.69,76,0,11.21,BR,1672970697
290,2071860,Esperance,-33.8667,121.9,76.98,45,0,8.43,AU,1672970698
291,1529376,Korla,41.7597,86.1469,20.53,48,5,2.71,CN,1672970698
292,577922,Belomorsk,64.5232,34.7668,15.33,94,99,5.55,RU,1672970698
293,7626405,Skibotn,69.3913,20.2679,12.56,89,28,13.71,NO,1672970699
294,3436943,Santiago,-27.15,-56.7833,74.1,34,0,2.08,PY,1672970699
295,2121385,Severo-Kuril'sk,50.6789,156.125,22.37,69,36,7.56,RU,1672970699
296,509475,Pinerovka,51.562,43.0689,31.73,99,100,3.6,RU,1672970700
297,2433437,Doba,8.65,16.85,70.93,37,99,5.37,TD,1672970700
298,2090495,Morehead,-8.7107,141.6367,91.36,49,100,11.88,PG,1672970701
299,1504380,Kargat,55.1956,80.2811,-2.04,99,100,0.89,RU,1672970701
300,3775850,Bosconia,9.9689,-73.8836,76.75,68,9,2.39,CO,1672970701
301,545728,Komsomol'skiy,43.9783,46.6985,38.41,92,47,9.48,RU,1672970702
302,4177465,Warrington,30.3841,-87.275,58.98,76,0,5.75,US,1672970703
303,5517675,Brownfield,33.1812,-102.2744,50.95,34,72,10.0,US,1672970407
304,2277060,Gbarnga,6.9956,-9.4722,63.5,72,62,1.57,LR,1672970704
305,6068416,Mayo,63.5927,-135.8998,-1.97,99,100,2.48,CA,1672970705
306,1218612,Murgab,37.4966,61.9714,48.07,66,99,6.67,TM,1672970706
307,1337612,Dhidhdhoo,6.8833,73.1,79.48,67,0,7.29,MV,1672970706
308,2028462,Ulaanbaatar,47.9077,106.8832,-20.07,69,15,2.24,MN,1672970419
309,3573197,Hamilton,32.2915,-64.778,69.84,87,40,12.66,BM,1672970707
310,1515029,Ulaangom,49.9811,92.0667,-14.51,96,99,2.62,MN,1672970708
311,6096551,Pangnirtung,66.1451,-65.7125,-5.33,85,100,2.08,CA,1672970710
312,2077895,Alice Springs,-23.7,133.8833,81.95,23,100,12.66,AU,1672970433
313,4011743,Constitucion,23.9912,-104.6749,55.06,28,0,0.58,MX,1672970711
314,3467577,Canavieiras,-15.675,-38.9472,75.54,92,100,4.88,BR,1672970711
315,2074865,Carnarvon,-24.8667,113.6333,77.22,78,60,15.68,AU,1672970712
316,328880,Sendafa,9.15,39.0333,47.01,62,3,2.21,ET,1672970712
317,2070998,Geraldton,-28.7667,114.6,81.01,69,0,14.97,AU,1672970713
318,4634662,Kingsport,36.5484,-82.5618,47.25,60,20,11.5,US,1672970713
319,2027296,Aykhal,66.0,111.5,-41.33,100,96,4.07,RU,1672970713
320,3653523,Palora,-1.7,-77.9333,66.02,98,62,2.66,EC,1672970714
321,764679,Mińsk Mazowiecki,52.1794,21.5725,35.35,87,92,13.33,PL,1672970715
322,2129376,Kushiro,42.975,144.3747,29.16,52,0,8.21,JP,1672970715
323,1804442,Lanxi,29.2195,119.477,54.88,69,42,5.08,CN,1672970717
324,1259108,Kasba,25.85,87.55,50.31,75,0,9.95,IN,1672970717
325,1516589,Zhezkazgan,47.8043,67.7144,28.38,93,100,8.95,KZ,1672970718
326,295277,Eilat,29.5581,34.9482,57.06,65,0,5.17,IL,1672970718
327,3974771,Praxédis Guerrero,31.3667,-106.0167,53.06,32,82,6.22,MX,1672970719
328,3397763,Jacareacanga,-6.2222,-57.7528,73.29,97,100,2.17,BR,1672970719
329,2019867,Mokhsogollokh,61.4681,128.9203,-28.1,100,100,0.78,RU,1672970720
330,1337610,Thinadhoo,0.5333,72.9333,80.01,71,7,7.49,MV,1672970720
331,3461370,Imbituba,-28.24,-48.6703,67.15,82,0,1.07,BR,1672970721
332,610298,Beyneu,45.3167,55.2,30.09,81,20,8.48,KZ,1672970722
333,2109701,Auki,-8.7676,160.7034,83.03,81,28,7.11,SB,1672970722
334,2455290,Kidal,18.4411,1.4078,64.51,22,81,9.71,ML,1672970722
335,5954718,Flin Flon,54.7682,-101.865,-3.03,100,67,2.06,CA,1672970723
336,3520994,Puerto Escondido,15.85,-97.0667,79.63,69,0,0.0,MX,1672970699
337,1490796,Strezhevoy,60.7333,77.5889,7.09,96,100,6.76,RU,1672970724
338,5380437,Pacific Grove,36.6177,-121.9166,53.51,88,100,4.61,US,1672970726
339,2036973,Heihe,50.2441,127.4902,-14.22,96,16,3.02,CN,1672970727
340,6255012,Flinders,-34.5833,150.8552,64.26,90,100,7.0,AU,1672970727
341,2246901,Oussouye,12.485,-16.5469,72.64,41,89,5.01,SN,1672970728
342,1803560,Lingao,19.9103,109.6859,67.06,67,99,9.15,CN,1672970728
343,1259091,Kollam,8.8833,76.6,74.86,77,8,8.99,IN,1672970729
344,2178753,Kirakira,-10.4544,161.9205,84.11,76,59,10.25,SB,1672970729
345,4171522,St. Pete Beach,27.7253,-82.7412,68.25,71,100,4.61,US,1672970578
346,1213855,Sibolga,1.7427,98.7792,79.5,81,99,0.78,ID,1672970730
347,2109528,Buala,-8.145,159.5921,83.93,76,33,7.58,SB,1672970730
348,3445941,Tupaciguara,-18.5922,-48.705,65.73,96,100,2.26,BR,1672970730
349,2021041,Kyra,49.5776,111.9753,0.61,88,100,2.51,RU,1672970731
350,3838859,Río Gallegos,-51.6226,-69.2181,69.85,37,0,17.27,AR,1672970731
351,4946620,Palmer,42.1584,-72.3287,41.25,84,100,4.88,US,1672970493
352,1696188,Palauig,15.435,119.9045,82.15,70,99,2.84,PH,1672970732
353,3483197,San Fernando,24.85,-98.15,67.51,86,0,8.77,MX,1672970732
354,2033196,Zhangjiakou,40.81,114.8794,24.89,39,25,13.27,CN,1672970732
355,1502822,Kolyvan',55.3053,82.7391,6.42,99,100,2.77,RU,1672970733
356,2181988,Takapau,-40.0333,176.35,64.92,87,100,6.73,NZ,1672970733
357,3573374,The Valley,18.217,-63.0578,78.66,83,40,18.41,AI,1672970734
358,3461888,Guarapari,-20.6667,-40.4975,78.89,96,100,4.59,BR,1672970734
359,5919850,Chapais,49.7834,-74.8492,8.38,93,100,7.47,CA,1672970734
360,3467263,Capinópolis,-18.6819,-49.5697,68.88,96,100,3.31,BR,1672970735
361,3452331,Presidente Epitácio,-21.7633,-52.1156,68.7,78,100,11.01,BR,1672970632
362,3662761,Porto Walter,-8.2686,-72.7439,70.77,99,100,3.53,BR,1672970736
363,3139597,Sistranda,63.7256,8.834,30.16,67,100,21.18,NO,1672970736
364,1494941,Pirovskoye,57.6267,92.2658,16.56,95,97,7.27,RU,1672970736
365,4588165,Mt. Pleasant,32.7941,-79.8626,57.97,79,0,5.75,US,1672970737
366,5864145,Homer,59.6425,-151.5483,32.81,84,62,5.01,US,1672970552
367,6050066,La Ronge,55.1001,-105.2842,-0.35,100,94,2.33,CA,1672970591
368,2013952,Ust'-Ilimsk,58.0006,102.6619,14.27,95,100,5.82,RU,1672970737
369,786735,Prilep,41.3464,21.5544,39.97,83,13,3.2,MK,1672970670
370,1299237,Pyapon,16.2833,95.6833,74.32,50,63,10.74,MM,1672970738
